id,name,depth,products,our_path,has_qualifier,passA_verdict,passA_score,passA_n_candidates,passA_shopify,passB_verdict,passB_score,passB_tier,passB_scope,passB_n_candidates,passB_shopify_id,passB_shopify,passB_shopify_en,passB_level,passB_is_leaf,passB_ancestor_level_match,passB_n_attrs,passB_attrs,passB_nearest_miss
1183,BLOUSE WANITA,4,913,Fashion > FASHION WANITA > ATASAN WANITA > BLOUSE WANITA,True,UNMAPPED,0.25,3,,UNMAPPED,0.25,,global,3,,,,,,,,,Busana dan Aksesori > Pakaian > Lingeri > Celana Dalam Wanita
1176,CELANA PANJANG PRIA,4,885,Fashion > FASHION PRIA > BAWAHAN PRIA > CELANA PANJANG PRIA,True,AMBIGUOUS,0.667,3,Busana dan Aksesori > Pakaian > Celana > Celana Panjang,AMBIGUOUS,1.0,exact-stripped,vertical,3,,,,,,,,,
1814,ARTEMEDIA,3,830,UNUSED > AREA DISPLAY > ARTEMEDIA,False,UNMAPPED,0.0,0,,UNMAPPED,0.0,,global,0,,,,,,,,,
533,COOKIES & BISKUIT,4,827,"Makanan dan Minuman > MAKANAN KECIL  > COOKIES, BISKUIT DAN LAIN LAIN > COOKIES & BISKUIT",False,UNMAPPED,0.333,2,,UNMAPPED,0.333,,global,2,,,,,,,,,Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Hewan Kecil > Camilan Hewan Kecil > Biskuit & Bakeri
1211,CELANA PANJANG WANITA,4,827,Fashion > FASHION WANITA > BAWAHAN WANITA > CELANA PANJANG WANITA,True,AMBIGUOUS,0.667,3,Busana dan Aksesori > Pakaian > Celana > Celana Panjang,AMBIGUOUS,1.0,exact-stripped,vertical,3,,,,,,,,,
450,TAS WANITA,3,784,Fashion > TAS & KOPER > TAS WANITA,True,UNMAPPED,0.333,56,,UNMAPPED,0.5,,global,26,,,,,,,,,Busana dan Aksesori > Aksesori Tas Tangan & Dompet > Gantungan Tas
432,SANDAL PRIA,3,782,Fashion > SEPATU PRIA > SANDAL PRIA,True,UNMAPPED,0.5,1,,EXACT,1.0,exact-stripped,vertical,1,aa-8-6,Busana dan Aksesori > Sepatu > Sandal,Apparel & Accessories > Shoes > Sandals,2,True,True,16,Kelompok usia | Petunjuk perawatan | Jenis penutupan | Warna | Bahan alas kaki | Jenis ketinggian tumit | Bahan pelapis | Gaya acara | Bahan sol luar | Pola | Gaya sandal | Fitur sepatu | Kesesuaian sepatu | Ukuran sepatu | Jenis kelamin sasaran | Gaya kaki,
1139,ATASAN ANAK LAKI-LAKI,4,734,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI > ATASAN ANAK LAKI-LAKI,True,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,15,,,,,,,,,Busana dan Aksesori > Pakaian > Pakaian Aktif > Atasan Aktif
879,SHAMPOO,4,719,Perawatan Diri & Rumah Tangga > Perawatan Diri > PERAWATAN RAMBUT > SHAMPOO,False,UNMAPPED,0.0,0,,UNMAPPED,0.0,,global,0,,,,,,,,,
72,MAINAN OLAHRAGA DAN AKTIVITAS,2,683,Mainan dan Alat Lainnya > MAINAN OLAHRAGA DAN AKTIVITAS,False,AMBIGUOUS,0.667,2,Mainan & Permainan > Mainan > Mainan Aktivitas,AMBIGUOUS,0.667,fuzzy-raw,vertical,2,,,,,,,,,
1271,TAS RANSEL PRIA,4,661,Fashion > TAS & KOPER > TAS PRIA > TAS RANSEL PRIA,True,UNMAPPED,0.5,1,,FUZZY,0.667,fuzzy-stripped,vertical,1,aa-5-4-23,"Busana dan Aksesori > Tas Tangan, Dompet & Kotak > Tas Tangan > Tas Ransel Tangan","Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Backpack Handbags",3,True,False,12,Ukuran aksesori | Kelompok usia | Hiasan tas | Penutup tas/kotak | Fitur tas/kotak | Bahan tas/kotak | Fitur penyimpanan tas/kotak | Petunjuk perawatan | Opsi bawa | Warna | Pola | Jenis kelamin sasaran,
53,KACAMATA,2,642,Fashion > KACAMATA,False,EXACT,1.0,1,Kesehatan & Kecantikan > Perawatan Tubuh > Perawatan Penglihatan > Kacamata,EXACT,1.0,exact-raw,global,1,hb-3-19-4,Kesehatan & Kecantikan > Perawatan Tubuh > Perawatan Penglihatan > Kacamata,Health & Beauty > Personal Care > Vision Care > Eyeglasses,3,True,False,23,Kelompok usia | Warna | Konstruksi | Bahan hiasan/trim | Warna bingkai kacamata | Desain bingkai kacamata | Bahan bingkai kacamata | Pola bingkai kacamata | Bentuk bingkai kacamata | Jenis engsel kacamata | Bahan lensa kacamata | Bahan perhiasan | Pelapis lensa | Warna lensa | Pola lensa | Jenis lensa | Bahan | Desain bingkai optik | Pola | Sterilitas produk | Jenis kelamin sasaran | Warna pelipis | Pola pelipis,
1262,TAS RANSEL / PUNGGUNG ANAK,4,638,Fashion > TAS & KOPER > TAS ANAK > TAS RANSEL / PUNGGUNG ANAK,True,UNMAPPED,0.4,1,,UNMAPPED,0.5,,global,1,,,,,,,,,"Busana dan Aksesori > Tas Tangan, Dompet & Kotak > Tas Tangan > Tas Ransel Tangan"
49,FASHION ANAK & BAYI,2,596,Fashion > FASHION ANAK & BAYI,True,UNMAPPED,0.5,11,,UNMAPPED,0.5,,global,11,,,,,,,,,Busana dan Aksesori > Pakaian > Pakaian Bayi & Anak
1180,CELANA DALAM PRIA,4,589,Fashion > FASHION PRIA > PAKAIAN DALAM PRIA > CELANA DALAM PRIA,True,FUZZY,0.667,1,Busana dan Aksesori > Pakaian > Pakaian Dalam Pria > Pakaian Dalam Pria > Celana Dalam,EXACT,1.0,exact-stripped,vertical,1,aa-1-8-3-9,Busana dan Aksesori > Pakaian > Pakaian Dalam Pria > Pakaian Dalam Pria > Celana Dalam,Apparel & Accessories > Clothing > Men's Undergarments > Men's Underwear > Undershorts,4,True,False,9,Petunjuk perawatan | Warna | Kain | Fitur pakaian intim | Pola | Gaya kantong | Ukuran | Jenis ukuran | Jenis kelamin sasaran,
1141,BAWAHAN ANAK LAKI-LAKI,4,584,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI > BAWAHAN ANAK LAKI-LAKI,True,UNMAPPED,0.4,4,,UNMAPPED,0.5,,global,2,,,,,,,,,Busana dan Aksesori > Pakaian > Pakaian Tidur & Pakaian Santai > Loungewear > Bawahan Loungewear
1727,BOTOL MINUM PLASTIK,8,583,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR > TEMPAT PENYIMPANAN MAKANAN & MINUMAN > TEMPAT PENYIMPANAN MINUMAN / CAIRAN > BOTOL MINUM PLASTIK,False,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,1,,,,,,,,,Rumah & Taman > Dapur & Ruang Makan > Pembawa Makanan & Minuman > Botol Air Minum
377,AKSESORIS FASHION DEWASA LAINNYA,3,569,Fashion > AKSESORIS FASHION DEWASA > AKSESORIS FASHION DEWASA LAINNYA,True,UNMAPPED,0.333,1,,UNMAPPED,0.333,,global,1,,,,,,,,,Dewasa
1144,SET PAKAIAN ANAK LAKI-LAKI,4,569,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI > SET PAKAIAN ANAK LAKI-LAKI,True,FUZZY,0.6,1,Busana dan Aksesori > Pakaian > Pakaian Bayi & Anak > Pakaian Dalam Bayi & Anak > Pakaian Dalam Anak Laki-Laki,EXACT,1.0,exact-stripped,vertical,1,aa-1-11,Busana dan Aksesori > Pakaian > Set Pakaian,Apparel & Accessories > Clothing > Outfit Sets,2,True,True,26,Fitur pakaian aktif | Aktivitas | Kelompok usia | Fitur bra | Jenis tali bra | Tingkat sokongan bra | Petunjuk perawatan | Fitur pakaian | Warna | Ukuran cup bra | Acara dress | Gaya dress | Kain | Fit | Garis leher | Jenis panjang celana | Pola | Ukuran | Jenis ukuran | Gaya rok | Jenis panjang rok/gaun | Jenis panjang lengan | Keadaan jahitan | Jenis kelamin sasaran | Jenis panjang atasan | Ketinggian pinggang,
58,SEPATU PRIA,2,558,Fashion > SEPATU PRIA,True,UNMAPPED,0.5,1,,EXACT,1.0,exact-stripped,vertical,1,aa-8,Busana dan Aksesori > Sepatu,Apparel & Accessories > Shoes,1,False,True,17,Kelompok usia | Petunjuk perawatan | Jenis penutupan | Warna | Metode pembuatan alas kaki | Bahan alas kaki | Jenis ketinggian tumit | Bahan pelapis | Gaya acara | Bahan sol luar | Pola | Fitur sepatu | Kesesuaian sepatu | Ukuran sepatu | Jenis kelamin sasaran | Jenis pelindung ujung | Gaya kaki,
1145,ATASAN ANAK PEREMPUAN,4,541,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK PEREMPUAN > ATASAN ANAK PEREMPUAN,True,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,15,,,,,,,,,Busana dan Aksesori > Pakaian > Pakaian Aktif > Atasan Aktif
398,ATASAN WANITA,3,523,Fashion > FASHION WANITA > ATASAN WANITA,True,UNMAPPED,0.333,15,,UNMAPPED,0.5,,global,14,,,,,,,,,Busana dan Aksesori > Pakaian > Pakaian Aktif > Atasan Aktif
1147,BAWAHAN ANAK PEREMPUAN,4,521,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK PEREMPUAN > BAWAHAN ANAK PEREMPUAN,True,UNMAPPED,0.4,4,,UNMAPPED,0.5,,global,2,,,,,,,,,Busana dan Aksesori > Pakaian > Pakaian Tidur & Pakaian Santai > Loungewear > Bawahan Loungewear
67,BONEKA ,2,518,Mainan dan Alat Lainnya > BONEKA ,False,AMBIGUOUS,1.0,2,Bayi & Balita > Mainan Bayi & Peralatan Aktivitas > Dot Bayi > Boneka,EXACT,1.0,exact-raw,vertical,1,tg-5-8-6,"Mainan & Permainan > Mainan > Boneka, Set Mainan & Figur Mainan > Boneka","Toys & Games > Toys > Dolls, Playsets & Toy Figures > Dolls",3,True,False,11,Ukuran baterai | Jenis baterai | Warna | Tipe mata boneka | Fitur boneka | Jenis serat rambut boneka | Jenis boneka | Skala rumah boneka | Pola | Rekomendasi kelompok usia | Bahan mainan/permainan,
1282,TAS RANSEL WANITA,4,513,Fashion > TAS & KOPER > TAS WANITA > TAS RANSEL WANITA,True,UNMAPPED,0.5,1,,FUZZY,0.667,fuzzy-stripped,vertical,1,aa-5-4-23,"Busana dan Aksesori > Tas Tangan, Dompet & Kotak > Tas Tangan > Tas Ransel Tangan","Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Backpack Handbags",3,True,False,12,Ukuran aksesori | Kelompok usia | Hiasan tas | Penutup tas/kotak | Fitur tas/kotak | Bahan tas/kotak | Fitur penyimpanan tas/kotak | Petunjuk perawatan | Opsi bawa | Warna | Pola | Jenis kelamin sasaran,
69,MAINAN ANAK PEREMPUAN,2,496,Mainan dan Alat Lainnya > MAINAN ANAK PEREMPUAN,True,UNMAPPED,0.4,5,,UNMAPPED,0.4,,global,5,,,,,,,,,Busana dan Aksesori > Pakaian > Pakaian Bayi & Anak > Pakaian Dalam Bayi & Anak > Pakaian Dalam Anak Perempuan
1151,SET PAKAIAN ANAK PEREMPUAN,4,485,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK PEREMPUAN > SET PAKAIAN ANAK PEREMPUAN,True,FUZZY,0.6,1,Busana dan Aksesori > Pakaian > Pakaian Bayi & Anak > Pakaian Dalam Bayi & Anak > Pakaian Dalam Anak Perempuan,EXACT,1.0,exact-stripped,vertical,1,aa-1-11,Busana dan Aksesori > Pakaian > Set Pakaian,Apparel & Accessories > Clothing > Outfit Sets,2,True,True,26,Fitur pakaian aktif | Aktivitas | Kelompok usia | Fitur bra | Jenis tali bra | Tingkat sokongan bra | Petunjuk perawatan | Fitur pakaian | Warna | Ukuran cup bra | Acara dress | Gaya dress | Kain | Fit | Garis leher | Jenis panjang celana | Pola | Ukuran | Jenis ukuran | Gaya rok | Jenis panjang rok/gaun | Jenis panjang lengan | Keadaan jahitan | Jenis kelamin sasaran | Jenis panjang atasan | Ketinggian pinggang,
458,LIPSTICK,3,482,Kosmetik dan Alat Kecantikan > MAKE UP BIBIR > LIPSTICK,False,UNMAPPED,0.0,0,,UNMAPPED,0.0,,global,0,,,,,,,,,
59,SEPATU WANITA,2,481,Fashion > SEPATU WANITA,True,UNMAPPED,0.5,1,,EXACT,1.0,exact-stripped,vertical,1,aa-8,Busana dan Aksesori > Sepatu,Apparel & Accessories > Shoes,1,False,True,17,Kelompok usia | Petunjuk perawatan | Jenis penutupan | Warna | Metode pembuatan alas kaki | Bahan alas kaki | Jenis ketinggian tumit | Bahan pelapis | Gaya acara | Bahan sol luar | Pola | Fitur sepatu | Kesesuaian sepatu | Ukuran sepatu | Jenis kelamin sasaran | Jenis pelindung ujung | Gaya kaki,
1721,KOTAK MAKAN PLASTIK,8,467,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR > TEMPAT PENYIMPANAN MAKANAN & MINUMAN > TEMPAT PENYIMPANAN MAKANAN > KOTAK MAKAN PLASTIK,False,UNMAPPED,0.5,2,,UNMAPPED,0.5,,global,2,,,,,,,,,Rumah & Taman > Dapur & Ruang Makan > Pembawa Makanan & Minuman > Tas & Kotak Makan
60,TAS & KOPER,2,456,Fashion > TAS & KOPER,False,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,1,,,,,,,,,Bagasi & Tas > Koper
1161,KAUS POLO PRIA,4,432,Fashion > FASHION PRIA > ATASAN PRIA > KAUS POLO PRIA,True,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,3,,,,,,,,,Busana dan Aksesori > Pakaian > Pakaian Bayi & Anak > Atasan Bayi & Anak > Polo
1318,SUSU CAIR & UHT,5,427,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU > SUSU CAIR & UHT,False,UNMAPPED,0.333,2,,UNMAPPED,0.333,,global,2,,,,,,,,,"Makanan, Minuman & Tembakau > Minuman > Susu"
547,SNACK LAINNYA,4,420,"Makanan dan Minuman > MAKANAN KECIL  > COOKIES, BISKUIT DAN LAIN LAIN > SNACK LAINNYA",False,UNMAPPED,0.333,1,,UNMAPPED,0.333,,global,1,,,,,,,,,"Makanan, Minuman & Tembakau > Item Makanan > Makanan Ringan > Trail & Snack Mix"
891,PEMBERSIH WAJAH (FACE WASH),4,412,Perawatan Diri & Rumah Tangga > Perawatan Diri > PERAWATAN WAJAH > PEMBERSIH WAJAH (FACE WASH),False,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,1,,,,,,,,,Kesehatan & Kecantikan > Perawatan Tubuh > Kosmetik > Perawatan Wajah > Pembersih Wajah
1476,SABUN BADAN CAIR KEMASAN REFILL,6,402,Perawatan Diri & Rumah Tangga > Perawatan Diri > PERAWATAN BADAN > SABUN BADAN > SABUN BADAN CAIR > SABUN BADAN CAIR KEMASAN REFILL,False,UNMAPPED,0.333,1,,UNMAPPED,0.333,,global,1,,,,,,,,,Kesehatan & Kecantikan > Perawatan Tubuh > Kosmetik > Mandi & Perawatan Tubuh > Sabun Tangan Cair
48,AKSESORIS FASHION DEWASA,2,385,Fashion > AKSESORIS FASHION DEWASA,True,UNMAPPED,0.333,1,,UNMAPPED,0.333,,global,1,,,,,,,,,Dewasa
1229,DASTER WANITA,4,380,Fashion > FASHION WANITA > PAKAIAN TIDUR WANITA > DASTER WANITA,True,UNMAPPED,0.25,3,,UNMAPPED,0.25,,global,3,,,,,,,,,Busana dan Aksesori > Pakaian > Lingeri > Celana Dalam Wanita
57,SEPATU ANAK & BAYI,2,379,Fashion > SEPATU ANAK & BAYI,True,EXACT,1.0,1,Busana dan Aksesori > Sepatu > Sepatu Bayi & Anak,EXACT,1.0,exact-raw,vertical,1,aa-8-11,Busana dan Aksesori > Sepatu > Sepatu Bayi & Anak,Apparel & Accessories > Shoes > Baby & Children's Shoes,2,False,True,12,Petunjuk perawatan | Jenis penutupan | Warna | Bahan alas kaki | Bahan pelapis | Bahan sol luar | Pola | Fitur sepatu | Kesesuaian sepatu | Ukuran sepatu | Jenis kelamin sasaran | Gaya kaki,
42,DEKORASI & KELENGKAPAN PESTA,2,378,Alat dan Buku Tulis > DEKORASI & KELENGKAPAN PESTA,False,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,1,,,,,,,,,Seni & Hiburan > Pesta & Perayaan > Perlengkapan Pesta > Dekorasi Pesta Tiup
1723,TOPLES,8,377,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR > TEMPAT PENYIMPANAN MAKANAN & MINUMAN > TEMPAT PENYIMPANAN MAKANAN > TOPLES,False,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,1,,,,,,,,,Rumah & Taman > Dapur & Ruang Makan > Peralatan & Perlengkapan Dapur > Pembuka Toples
1152,TERUSAN ANAK PEREMPUAN,4,376,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK PEREMPUAN > TERUSAN ANAK PEREMPUAN,True,UNMAPPED,0.4,4,,UNMAPPED,0.5,,global,1,,,,,,,,,Busana dan Aksesori > Pakaian > Seragam & Pakaian Kerja > Celana & Terusan Kontraktor > Terusan Celemek
549,PERMEN,4,375,Makanan dan Minuman > MAKANAN KECIL  > PERMEN MARSHMALLOW DAN LAIN LAIN > PERMEN,False,AMBIGUOUS,1.0,2,"Makanan, Minuman & Tembakau > Item Makanan > Permen & Cokelat > Permen",AMBIGUOUS,1.0,exact-raw,vertical,2,,,,,,,,,
1177,CELANA PENDEK PRIA,4,368,Fashion > FASHION PRIA > BAWAHAN PRIA > CELANA PENDEK PRIA,True,AMBIGUOUS,0.667,5,Busana dan Aksesori > Pakaian > Pakaian Tidur & Pakaian Santai > Loungewear > Bawahan Loungewear > Celana Pendek,AMBIGUOUS,1.0,exact-stripped,vertical,5,,,,,,,,,
1541,ALAT DAPUR & AKSESORIS DAPUR,6,361,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR > ALAT DAPUR & AKSESORIS DAPUR,False,UNMAPPED,0.25,52,,UNMAPPED,0.25,,global,52,,,,,,,,,Seni & Hiburan > Hobi & Seni Kreatif > Seni & Kerajinan > Alat Seni & Kerajinan > Alat Benang & Benang Rajut > Card & Sikat Serat > Alat Teasing
1135,JEPIT RAMBUT DEWASA,4,358,Fashion > AKSESORIS FASHION DEWASA > AKSESORIS RAMBUT DEWASA > JEPIT RAMBUT DEWASA,True,UNMAPPED,0.5,4,,AMBIGUOUS,0.667,fuzzy-stripped,vertical,3,,,,,,,,,
1796,CARDINAL OBRAL,4,353,UNUSED > AREA DISPLAY > CARDINAL > CARDINAL OBRAL,False,UNMAPPED,0.2,1,,UNMAPPED,0.0,,global,0,,,,,,,,,
85,COKLAT MAKANAN KECIL,3,348,Makanan dan Minuman > MAKANAN KECIL  > COKLAT MAKANAN KECIL,False,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,1,,,,,,,,,Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Hewan Kecil > Makanan Hewan Kecil
1187,KEMEJA WANITA,4,347,Fashion > FASHION WANITA > ATASAN WANITA > KEMEJA WANITA,True,UNMAPPED,0.5,3,,AMBIGUOUS,1.0,exact-stripped,vertical,3,,,,,,,,,
1455,CELANA OLAHRAGA PRIA,5,342,Fashion > PAKAIAN OLAHRAGA > PAKAIAN OLAHRAGA PRIA > BAWAHAN OLAHRAGA PRIA > CELANA OLAHRAGA PRIA,True,UNMAPPED,0.333,2,,UNMAPPED,0.5,,global,2,,,,,,,,,Busana dan Aksesori > Pakaian > Celana
1159,SETELAN BAYI,4,340,Fashion > FASHION ANAK & BAYI > PAKAIAN BAYI > SETELAN BAYI,True,FUZZY,0.667,1,Busana dan Aksesori > Pakaian > Pakaian Bayi & Anak > Setelan Bayi & Anak,EXACT,1.0,exact-stripped,vertical,1,aa-1-19,Busana dan Aksesori > Pakaian > Setelan,Apparel & Accessories > Clothing > Suits,2,False,True,15,Kelompok usia | Petunjuk perawatan | Fitur pakaian | Warna | Kain | Konfigurasi kancing depan | Gaya ventilasi selubung | Gaya lapel | Garis leher | Pola | Ukuran | Jenis ukuran | Jenis panjang lengan | Setelan jas | Jenis kelamin sasaran,
1567,SELIMUT (BEDCOVER),6,335,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERLENGKAPAN RUMAH TANGGA > PERLENGKAPAN KAMAR & KAMAR MANDI > SELIMUT (BEDCOVER),False,EXACT,1.0,1,Rumah & Taman > Linen & Alas Tidur > Alas Tidur > Selimut & Bedcover,EXACT,1.0,exact-raw,vertical,1,hg-15-1-10,Rumah & Taman > Linen & Alas Tidur > Alas Tidur > Selimut & Bedcover,Home & Garden > Linens & Bedding > Bedding > Quilts & Comforters,3,True,False,8,Ukuran alas tidur | Petunjuk perawatan | Warna | Kain | Perawatan bahan | Pola | Jenis konstruksi selimut | Tingkat kehangatan,
1253,SANDAL ANAK PEREMPUAN,4,334,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN > SANDAL ANAK PEREMPUAN,True,UNMAPPED,0.4,4,,EXACT,1.0,exact-stripped,vertical,1,aa-8-6,Busana dan Aksesori > Sepatu > Sandal,Apparel & Accessories > Shoes > Sandals,2,True,True,16,Kelompok usia | Petunjuk perawatan | Jenis penutupan | Warna | Bahan alas kaki | Jenis ketinggian tumit | Bahan pelapis | Gaya acara | Bahan sol luar | Pola | Gaya sandal | Fitur sepatu | Kesesuaian sepatu | Ukuran sepatu | Jenis kelamin sasaran | Gaya kaki,
1373,PARFUM WANITA,5,327,Perawatan Diri & Rumah Tangga > Perawatan Diri > FRAGRANCE & DEODORAN > PARFUM (EAU DE TOILETTE) > PARFUM WANITA,True,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,6,,,,,,,,,Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Perawatan Hewan Piaraan > Pengharum Hewan Piaraan & Semprotan Penghilang Bau > Parfum
278,BOHLAM,3,323,Elektronik > ALAT ELEKTRONIK RUMAH LAINNYA > BOHLAM,False,AMBIGUOUS,1.0,2,Rumah & Taman > Pencahayaan > Bohlam,EXACT,1.0,exact-raw,vertical,1,hg-13-7,Rumah & Taman > Pencahayaan > Bohlam,Home & Garden > Lighting > Light Bulbs,2,False,True,11,Jenis tutup bohlam | Finishing bohlam | Bentuk bohlam | Ukuran bohlam | Warna | Kelas efisiensi energi | Warna lampu | Pola cahaya | Temperatur cahaya | Fitur pencahayaan | Pola,
899,BODY LOTION,4,320,Perawatan Diri & Rumah Tangga > Perawatan Diri > PERAWATAN BADAN > BODY LOTION,False,UNMAPPED,0.333,3,,UNMAPPED,0.333,,global,3,,,,,,,,,Kesehatan & Kecantikan > Perawatan Tubuh > Kosmetik > Parfum & Cologne > Body Mist
