id,name,name_en,path,depth,numchild,full_code,is_public,products,products_active,cum_products
1145,ATASAN ANAK PEREMPUAN,,0008000300020001,4,0,A008-03-02-01,true,541,538,26531
398,ATASAN WANITA,,000800050001,3,6,A008-05-01,true,523,523,27054
1147,BAWAHAN ANAK PEREMPUAN,,0008000300020003,4,0,A008-03-02-03,true,521,498,27575
67,BONEKA ,,000A0001,2,0,A010-01,true,518,460,28093
1282,TAS RANSEL WANITA,,0008000E00040007,4,0,A008-14-04-07,true,513,494,28606
69,MAINAN ANAK PEREMPUAN,,000A0003,2,0,A010-03,true,496,480,29102
1151,SET PAKAIAN ANAK PEREMPUAN,,0008000300020007,4,0,A008-03-02-07,true,485,484,29587
458,LIPSTICK,,000900020004,3,0,A009-02-04,true,482,331,30069
59,SEPATU WANITA,,0008000D,2,9,A008-13,true,481,472,30550
1721,KOTAK MAKAN PLASTIK,,000B000A000700010003000300010001,8,0,A003-02-05-01-03-03-01-01,true,467,409,31017
60,TAS & KOPER,,0008000E,2,4,A008-14,true,456,417,31473
1161,KAUS POLO PRIA,,0008000400030002,4,0,A008-04-01-01,true,432,430,31905
1318,SUSU CAIR & UHT,,00010003000200020003,5,0,A001-02-01-02-03,true,427,290,32332
547,SNACK LAINNYA,,0001000500020005,4,0,A001-04-02-99,true,420,257,32752
891,PEMBERSIH WAJAH (FACE WASH),,000B000800020009,4,0,A003-01-02-09,true,412,273,33164
1476,SABUN BADAN CAIR KEMASAN REFILL,,000B00080003000900020002,6,0,A003-01-03-09-02-02,true,402,274,33566
48,AKSESORIS FASHION DEWASA,,00080002,2,12,A008-02,true,385,366,33951
1229,DASTER WANITA,,0008000500090001,4,0,A008-05-09-01,true,380,370,34331
57,SEPATU ANAK & BAYI,,0008000B,2,2,A008-11,true,379,374,34710
42,DEKORASI & KELENGKAPAN PESTA,,00070005,2,12,A007-05,true,378,338,35088
1723,TOPLES,,000B000A000700010003000300010003,8,0,A003-02-05-01-03-03-01-03,true,377,309,35465
1152,TERUSAN ANAK PEREMPUAN,,0008000300020008,4,0,A008-03-02-08,true,376,371,35841
549,PERMEN,,0001000500050002,4,0,A001-04-05-02,true,375,234,36216
1177,CELANA PENDEK PRIA,,0008000400070002,4,0,A008-04-05-02,true,368,356,36584
1541,ALAT DAPUR & AKSESORIS DAPUR,,000B000A0007000100030001,6,47,A003-02-05-01-03-01,true,361,307,36945
1135,JEPIT RAMBUT DEWASA,,0008000200020003,4,0,A008-02-02-03,true,358,306,37303
1796,CARDINAL OBRAL,,000F000700030001,4,8,Z003-B001-05-02,true,353,353,37656
85,COKLAT MAKANAN KECIL,,000100050001,3,0,A001-04-01,true,348,213,38004
1187,KEMEJA WANITA,,0008000500010005,4,0,A008-05-01-05,true,347,342,38351
1455,CELANA OLAHRAGA PRIA,,00080008000100020001,5,0,A008-08-01-02-01,true,342,342,38693
1159,SETELAN BAYI,,0008000300030007,4,0,A008-03-03-07,true,340,318,39033
1567,SELIMUT (BEDCOVER),,000B000A000700020003000A,6,0,A003-02-05-02-03-10,true,335,332,39368
1253,SANDAL ANAK PEREMPUAN,,0008000B00020002,4,0,A008-11-02-02,true,334,318,39702
1373,PARFUM WANITA,,000B0008000500030002,5,0,A003-01-05-03-02,true,327,223,40029
278,BOHLAM,,000600030005,3,0,A006-03-05,true,323,242,40352
899,BODY LOTION,,000B000800030004,4,0,A003-01-03-04,true,320,201,40672
1276,DOMPET WANITA,,0008000E00040001,4,0,A008-14-04-01,true,320,302,40992
612,MIE INSTAN BUNGKUS,,0001000600090003,4,0,A001-05-09-03,true,318,220,41310
1199,KERUDUNG WANITA,,0008000500030006,4,0,A008-05-03-06,true,314,302,41624
1317,SUSU BUBUK,,00010003000200020002,5,0,A001-02-01-02-02,true,310,187,41934
1473,POPOK (DIAPERS) ANAK & BAYI SEKALI PAKAI (DISPOSABLE) MODEL CELANA,,000200030002000500020001,6,0,A002-03-02-05-02-01,true,306,154,42240
404,PAKAIAN DALAM WANITA,,000800050007,3,4,A008-05-07,true,299,288,42539
1246,SANDAL ANAK LAKI-LAKI,,0008000B00010002,4,0,A008-11-01-02,true,298,290,42837
1134,IKAT RAMBUT DEWASA,,0008000200020002,4,0,A008-02-02-02,true,297,234,43134
1294,SERAGAM SD,,0008000F00020001,4,0,A008-15-02-01,true,296,283,43430
380,IKAT PINGGANG,,000800020004,3,0,A008-02-04,true,294,283,43724
1143,PAKAIAN MUSLIM ANAK LAKI-LAKI,,0008000300010005,4,0,A008-03-01-05,true,293,257,44017
1136,SISIR DEWASA,,0008000200020004,4,0,A008-02-02-04,true,292,287,44309
411,KACAMATA BACA,,000800070002,3,0,A008-07-02,true,290,250,44599
535,WAFER,,0001000500020004,4,0,A001-04-02-04,true,288,186,44887
515,YOGHURT,,000100030002000F,4,0,A001-02-01-15,true,287,176,45174
1215,ROK MAXI WANITA,,0008000500050006,4,0,A008-05-05-06,true,280,276,45454
391,PAKAIAN BAYI,,000800030003,3,8,A008-03-03,true,277,277,45731
1197,GAUN MUSLIM WANITA,,0008000500030004,4,0,A008-05-03-04,true,270,270,46001
1362,SABUN BADAN BATANG,,000B0008000300090001,5,0,A003-01-03-09-01,true,270,192,46271
565,BUMBU MASAK INSTAN,,0001000600030001,4,0,A001-05-03-01,true,269,196,46540
1186,KAUS WANITA,,0008000500010004,4,0,A008-05-01-04,true,268,249,46808
311,BUKU ANAK-ANAK,,000700030001,3,0,A007-03-01,true,267,238,47075
305,PEN,,000700020001,3,0,A007-02-01,true,266,228,47341
1791,OLYMPIC,,000F00070006,3,0,Z003-B001-02,true,264,264,47605
472,BEDAK WAJAH,,000900050002,3,0,A009-05-02,true,255,186,47860
40,BUKU BACAAN,,00070003,2,4,A007-03,true,252,249,48112
51,FASHION WANITA,,00080005,2,9,A008-05,true,252,249,48364
170,STOP KONTAK,,00040001000I,3,0,A004-01-18,true,244,219,48608
430,KAUS KAKI PRIA,,0008000C0001,3,0,A008-12-01,true,244,232,48852
1148,PAKAIAN DALAM ANAK PEREMPUAN,,0008000300020004,4,0,A008-03-02-04,true,243,237,49095
7,Alat dan Buku Tulis,Stationary and Books,0007,1,9,A007,true,241,209,49336
240,BUNGA & TANAMAN ARTIFISIAL (BUATAN),,000500050002,3,0,A005-06-02,true,241,226,49577
912,SIKAT GIGI DEWASA,,000B000800040005,4,0,A003-01-04-05,true,240,184,49817
388,TOPI DEWASA,,00080002000D,3,0,A008-02-12,true,237,225,50054
437,SEPATU SNEAKERS PRIA,,0008000C0008,3,0,A008-12-08,true,236,236,50290
438,KAUS KAKI WANITA,,0008000D0001,3,0,A008-13-01,true,236,228,50526
573,ES KRIM,,0001000600040002,4,0,A001-05-04-02,true,233,221,50759
1149,PAKAIAN MUSLIM ANAK PEREMPUAN,,0008000300020005,4,0,A008-03-02-05,true,232,207,50991
256,PERAWATAN HEWAN PELIHARAAN,,000500070001,3,5,A005-08-01,true,230,179,51221
180,PYLOX,,000400020009,3,0,A004-02-09,true,227,163,51448
29,MENJAHIT,,00050002,2,15,A005-03,true,225,178,51673
409,JAM TANGAN WANITA,,000800060003,3,0,A008-06-03,true,224,179,51897
111,SAYURAN SEGAR,,000100070005,3,90,A001-06-05,true,222,192,52119
1559,CERMIN,,000B000A0007000200030002,6,0,A003-02-05-02-03-02,true,222,207,52341
358,KANTONG WARNA WARNI,,00070008000D,3,0,A007-08-13,true,221,198,52562
922,PEMBALUT,,000B000800070002,4,0,A003-01-07-02,true,221,159,52783
14,MAKANAN KECIL ,,00010005,2,7,A001-04,true,220,40,53003
41,BUKU TULIS,,00070004,2,7,A007-04,true,219,172,53222
1410,DETERJEN CAIR,,000B000A000200010002,5,3,A003-02-02-01-02,true,218,147,53440
322,BALON,,000700050001,3,0,A007-05-01,true,214,191,53654
361,KOTAK PENSIL (PENCIL CASE),,00070008000G,3,0,A007-08-16,true,214,189,53868
1475,SABUN BADAN CAIR KEMASAN BOTOL,,000B00080003000900020001,6,0,A003-01-03-09-02-01,true,213,92,54081
889,MASKER KECANTIKAN,,000B000800020007,4,0,A003-01-02-07,true,212,64,54293
1813,JAS HUJAN,,0008000200080003,4,0,A008-02-08-03,true,206,155,54499
188,GEMBOK RUMAH,,000400030006,3,0,A004-03-06,true,203,180,54702
1245,KAUS KAKI ANAK & BAYI LAKI-LAKI,,0008000B00010001,4,0,A008-11-01-01,true,203,198,54905
911,PASTA GIGI DEWASA,,000B000800040004,4,0,A003-01-04-04,true,202,149,55107
1214,LEGGING WANITA,,0008000500050005,4,0,A008-05-05-05,true,202,201,55309
877,PEWARNA RAMBUT,,000B000800010006,4,0,A003-01-01-06,true,201,123,55510
1172,PECI,,0008000400050003,4,0,A008-04-03-03,true,201,180,55711
1627,CETAKAN / LOYANG KUE,,000B000A00070001000300010008,7,0,A003-02-05-01-03-01-08,true,201,177,55912
449,TAS TRAVEL & KOPER,,0008000E0003,3,3,A008-14-03,true,199,197,56111
173,BAUT/SEKRUP,,000400020002,3,0,A004-02-02,true,197,186,56308
1295,SERAGAM SMP,,0008000F00020002,4,0,A008-15-02-02,true,195,182,56503
510,MINUMAN KESEHATAN,,000100030002000A,4,0,A001-02-01-10,true,193,143,56696
312,BUKU FIKSI,,000700030002,3,0,A007-03-02,true,190,115,56886
1519,MASKER ANTI DEBU,,000B000A0007000100010004,6,0,A003-02-05-01-01-04,true,188,97,57074
1409,DETERJEN BUBUK,,000B000A000200010001,5,0,A003-02-02-01-01,true,186,136,57260
1165,JAKET PRIA,,0008000400040002,4,0,A008-04-02-02,true,182,182,57442
307,PENSIL,,000700020003,3,0,A007-02-03,true,181,152,57623
77,SUSU FORMULA BAYI,,000100010004,3,0,A001-01-03,true,174,120,57797
44,KERTAS,,00070007,2,9,A007-07,true,173,153,57970
1127,BANDO & BANDANA ANAK,,0008000100010001,4,0,A008-01-01-01,true,173,145,58143
1133,BANDO & BANDANA DEWASA,,0008000200020001,4,0,A008-02-02-01,true,173,155,58316
1173,SARUNG,,0008000400050004,4,0,A008-04-03-04,true,172,162,58488
1191,KARDIGAN WANITA,,0008000500020003,4,0,A008-05-02-03,true,171,170,58659
2,Keperluan Anak dan Bayi,Baby and Kids,0002,1,4,A002,true,170,167,58829
1546,TEMPAT PENYIMPANAN LAINNYA,,000B000A0007000100030006,6,4,A003-02-05-01-03-06,true,169,155,58998
428,SEPATU ANAK & BAYI LAKI-LAKI,,0008000B0001,3,7,A008-11-01,true,168,161,59166
1129,JEPIT RAMBUT ANAK,,0008000100010003,4,0,A008-01-01-03,true,167,155,59333
519,KOPI BUBUK INSTAN KEMASAN BUNGKUS/SACHET,,00010004000100020001,5,0,A001-03-01-02-01,true,166,110,59499
542,"KACANG, BIJI BIJAN, DAN BUAH KERING",,0001000500040002,4,0,A001-04-04-02,true,166,127,59665
1795,CARDINAL NORMAL,,000F000700030002,4,8,Z003-B001-05-01,true,166,166,59831
1281,TAS POUCH WANITA,,0008000E00040006,4,0,A008-14-04-06,true,165,165,59996
915,BODY MIST & COLOGNE DEWASA,,000B000800050001,4,0,A003-01-05-01,true,163,107,60159
1413,PELEMBUT & PEWANGI PAKAIAN (SOFTENER) KEMASAN REFILL (POUCH),,000B000A000200020002,5,0,A003-02-02-02-02,true,162,104,60321
979,PEWANGI MOBIL,,0005000100010009,4,0,A005-01-01-09,true,161,105,60482
1077,MAKANAN KUCING,,0005000700030004,4,0,A005-08-03-04,true,160,113,60642
287,KIPAS ANGIN,,00060003000E,3,0,A006-03-14,true,158,144,60800
1188,TANK TOP WANITA,,0008000500010006,4,0,A008-05-01-06,true,158,150,60958
1369,DEODORAN ROLL-ON,,000B0008000500020003,5,0,A003-01-05-02-03,true,157,124,61115
650,KUE,,00010006000F0002,4,0,A001-05-15-02,true,156,101,61271
1154,BAWAHAN BAYI,,0008000300030002,4,0,A008-03-03-02,true,156,154,61427
1561,HANDUK,,000B000A0007000200030004,6,0,A003-02-05-02-03-04,true,156,141,61583
1304,SPONGE / BLENDER / APLIKATOR MAKE UP,,0009000100010006,4,0,A009-01-01-06,true,154,133,61737
1728,TERMOS AIR PANAS,,000B000A000700010003000300020003,8,0,A003-02-05-01-03-03-02-03,true,154,134,61891
335,CLEAR FOLDER,,000700060002,3,0,A007-06-02,true,151,130,62042
1007,BENANG JAHIT,,0005000200010001,4,0,A005-03-01-01,true,151,82,62193
1889,SPATULA,,000B000A000700010003000200010001,8,0,A003-02-05-01-03-02-01-08,true,151,131,62344
1146,BAJU LUARAN ANAK PEREMPUAN,,0008000300020002,4,0,A008-03-02-02,true,150,149,62494
1153,ATASAN BAYI,,0008000300030001,4,0,A008-03-03-01,true,150,150,62644
76,SNACK BAYI,,000100010002,3,0,A001-01-02,true,149,83,62793
93,BUMBU DAPUR,,000100060003,3,9,A001-05-03,true,148,59,62941
1307,MAKEUP & TRAVEL CASE,,0009000100020003,4,0,A009-01-02-03,true,148,139,63089
1548,GANTUNGAN / JEMURAN BAJU,,000B000A0007000100040002,6,0,A003-02-05-01-04-02,true,148,139,63237
1201,MUKENA WANITA,,0008000500030008,4,0,A008-05-03-08,true,146,144,63383
1232,PIYAMA SET WANITA,,0008000500090004,4,0,A008-05-09-04,true,145,145,63528
247,POT BUNGA,,000500050009,3,0,A005-06-09,true,144,136,63672
1858,BOX PENYIMPANAN MAKANAN,,000B000A000700010003000300010006,8,0,A003-02-05-01-03-03-01-08,true,144,125,63816
992,HELM,,0005000800010001,4,0,A005-02-01-01,true,143,131,63959
448,TAS PRIA,,0008000E0002,3,9,A008-14-02,true,142,133,64101
887,KRIM WAJAH,,000B000800020005,4,0,A003-01-02-05,true,140,68,64241
340,KERTAS KADO,,000700070004,3,0,A007-07-04,true,137,116,64378
351,CELENGAN,,000700080006,3,0,A007-08-06,true,137,120,64515
836,GENDONGAN,,0002000300010003,4,0,A002-03-01-03,true,137,135,64652
26,PERLENGKAPAN PERBAIKAN RUMAH,,00040003,2,24,A004-03,true,136,127,64788
107,BUAH,,000100070001,3,30,A001-06-01,true,136,119,64924
873,KONDISIONER RAMBUT (HAIR CONDITIONER),,000B000800010002,4,0,A003-01-01-02,true,136,66,65060
1671,WAJAN,,000B000A00070001000300020007,7,0,A003-02-05-01-03-02-07,true,136,125,65196
151,PENGHARUM RUANGAN,,000B000A0004,3,3,A003-02-04,true,135,107,65331
1171,BAJU KOKO LENGAN PENDEK PRIA,,0008000400050002,4,0,A008-04-03-02,true,135,128,65466
536,KERIPIK KENTANG,,0001000500030001,4,0,A001-04-03-01,true,134,96,65600
838,TAS BAYI,,0002000300010005,4,0,A002-03-01-05,true,133,129,65733
1649,PISAU,,000B000A0007000100030001000U,7,3,A003-02-05-01-03-01-30,true,133,124,65866
1372,PARFUM LAKI-LAKI,,000B0008000500030001,5,0,A003-01-05-03-01,true,132,76,65998
78,MINUMAN DALAM KEMASAN,,000100030002,3,16,A001-02-01,true,131,83,66129
308,SPIDOL,,000700020004,3,0,A007-02-04,true,129,91,66258
1272,TAS SELEMPANG PRIA,,0008000E00020009,4,0,A008-14-02-09,true,129,128,66387
1251,SEPATU SNEAKERS ANAK LAKI-LAKI,,0008000B00010007,4,0,A008-11-01-07,true,128,128,66515
568,BUMBU REMPAH,,0001000600030004,4,0,A001-05-03-04,true,127,116,66642
591,NUGGET BEKU,,000100060007000A,4,0,A001-05-07-10,true,127,91,66769
1726,ANEKA BOTOL KOSONG,,000B000A000700010003000300020001,8,0,A003-02-05-01-03-03-02-01,true,127,114,66896
534,CRACKERS,,0001000500020003,4,0,A001-04-02-03,true,126,84,67022
1024,PITA SATIN,,00050002000C0006,4,0,A005-03-12-06,true,126,123,67148
390,PAKAIAN ANAK PEREMPUAN,,000800030002,3,8,A008-03-02,true,124,124,67272
557,BUBUK PUDDING/JELLY/AGAR-AGAR DAN VLA,,0001000600010004,4,0,A001-05-01-04,true,124,90,67396
1609,TISU FACIAL (HALUS),,000B000A000700010001000D0003,7,0,A003-02-05-01-01-13-03,true,124,94,67520
75,MAKANAN & MINUMAN BAYI,,000100010001,3,0,A001-01-01,true,123,81,67643
303,PEN WARNA WARNI,,000700010007,3,0,A007-01-07,true,123,98,67766
395,BATIK PRIA,,000800040006,3,2,A008-04-04,true,123,123,67889
1676,TEMPAT SAMPAH,,000B000A00070001000300040003,7,0,A003-02-05-01-03-04-03,true,123,109,68012
1261,TAS SELEMPANG ANAK,,0008000E00010001,4,0,A008-14-01-01,true,122,66,68134
596,SOSIS BEKU,,000100060007000F,4,0,A001-05-07-15,true,121,83,68255
1115,LILIN ULANG TAHUN,,0007000500050002,4,0,A007-05-05-02,true,121,92,68376
1142,PAKAIAN DALAM ANAK LAKI-LAKI,,0008000300010004,4,0,A008-03-01-04,true,121,118,68497
96,MADU,,000100060006,3,0,A001-05-06,true,120,74,68617
1182,KAOS SINGLET PRIA,,0008000400080004,4,0,A008-04-06-04,true,120,120,68737
607,IKAN DALAM KEMASAN KALENG,,000100060008000A,4,0,A001-05-08-10,true,119,77,68856
1174,BATIK LENGAN PANJANG PRIA,,0008000400060001,4,0,A008-04-04-01,true,119,117,68975
452,SERAGAM SEKOLAH,,0008000F0002,3,5,A008-15-02,true,118,107,69093
1128,IKAT RAMBUT ANAK,,0008000100010002,4,0,A008-01-01-02,true,118,106,69211
423,BROS DEWASA,,0008000A0002,3,0,A008-10-02,true,117,95,69328
1296,SERAGAM SMA,,0008000F00020003,4,0,A008-15-02-03,true,116,112,69444
1743,PIRING PLASTIK,,000B000A000700010003000500030006,8,0,A003-02-05-01-03-05-03-06,true,116,113,69560
814,GUNTING KUKU,,0002000200010001,4,0,A002-02-01-01,true,115,98,69675
1140,BAJU LUARAN ANAK LAKI-LAKI,,0008000300010002,4,0,A008-03-01-02,true,115,115,69790
1438,KURSI,,000B000A000700020001,5,0,A003-02-05-02-01,true,114,108,69904
321,BUKU TULIS,,000700040007,3,0,A007-04-07,true,113,93,70017
924,VITAMIN & MULTIVITAMIN,,000B000800080001,4,0,A003-01-08-01,true,113,84,70130
1009,BENANG RAJUT,,0005000200010003,4,0,A005-03-01-03,true,113,113,70243
875,PENATA RAMBUT (WAX/GEL/POMADE/FOAM),,000B000800010004,4,0,A003-01-01-04,true,112,84,70355
1623,BASKOM SAYUR,,000B000A00070001000300010004,7,0,A003-02-05-01-03-01-04,true,112,101,70467
1742,PIRING MELAMIN,,000B000A000700010003000500030005,8,0,A003-02-05-01-03-05-03-05,true,112,98,70579
317,BUKU GAMBAR,,000700040003,3,0,A007-04-03,true,111,88,70690
566,BUMBU PENYEDAP,,0001000600030002,4,0,A001-05-03-02,true,111,91,70801
544,PUDDING & JELLY,,000100050007,3,0,A001-04-07,true,110,56,70911
545,RUMPUT LAUT,,0001000500040005,4,0,A001-04-04-05,true,110,72,71021
1190,JAKET WANITA,,0008000500020002,4,0,A008-05-02-02,true,110,110,71131
1573,TAPLAK MEJA,,000B000A0007000200050003,6,0,A003-02-05-02-05-03,true,110,97,71241
402,BAWAHAN WANITA,,000800050005,3,9,A008-05-05,true,109,108,71350
883,FACE MOISTURIZER,,000B000800020001,4,0,A003-01-02-01,true,109,83,71459
1496,CAIRAN PENCUCI PIRING KEMASAN REFILL (POUCH),,000B000A0003000100020003,6,0,A003-02-03-01-02-03,true,109,67,71568
371,STICKY NOTES,,00070008000Q,3,0,A007-08-26,true,108,77,71676
37,ALAT ELEKTRONIK RUMAH LAINNYA,,00060003,2,23,A006-03,true,107,102,71783
477,FOUNDATION (DASAR MAKE UP),,000900050007,3,0,A009-05-07,true,107,68,71890
524,TEH CELUP,,0001000400050001,4,0,A001-03-04-01,true,107,89,71997
842,COTTON BUD ,,0002000300020003,4,0,A002-03-02-03,true,107,100,72104
1170,BAJU KOKO LENGAN PANJANG PRIA,,0008000400050001,4,0,A008-04-03-01,true,107,100,72211
1442,PERLENGKAPAN LAINNYA,,000B000A000700020005,5,4,A003-02-05-02-05,true,107,98,72318
306,PENGHAPUS,,000700020002,3,0,A007-02-02,true,106,91,72424
1192,ROMPI WANITA,,0008000500020004,4,0,A008-05-02-04,true,106,105,72530
1506,CAIRAN PEMBERSIH LANTAI KEMASAN REFILL (POUCH),,000B000A0003000400010003,6,0,A003-02-03-04-01-03,true,106,84,72636
50,FASHION PRIA,,00080004,2,7,A008-04,true,105,105,72741
633,KEJU,,00010006000C0001,4,0,A001-05-12-01,true,105,68,72846
654,SEREAL,,00010006000F0006,4,0,A001-05-15-06,true,105,74,72951
270,PERLENGKAPAN KOMPUTER,,000600020001,3,14,A006-02-01,true,104,84,73055
429,SEPATU ANAK & BAYI PEREMPUAN,,0008000B0002,3,9,A008-11-02,true,104,98,73159
511,MINUMAN RASA BUAH,,000100030002000B,4,0,A001-02-01-11,true,104,77,73263
553,PERMEN PENYEGAR NAFAS,,0001000500050006,4,0,A001-04-05-06,true,104,86,73367
845,TISU BASAH (BABY WIPES),,0002000300020006,4,0,A002-03-02-06,true,104,63,73471
890,MICELLAR WATER,,000B000800020008,4,0,A003-01-02-08,true,104,74,73575
1264,DOMPET PRIA,,0008000E00020001,4,0,A008-14-02-01,true,104,103,73679
1269,TAS PINGGANG PRIA,,0008000E00020006,4,0,A008-14-02-06,true,104,104,73783
1750,MANGKUK PLASTIK,,000B000A000700010003000500040005,8,0,A003-02-05-01-03-05-04-05,true,104,101,73887
310,TIPPEX,,000700020006,3,0,A007-02-06,true,103,64,73990
812,SHAMPOO ANAK & BAYI,,0002000100050005,4,0,A002-01-05-05,true,103,81,74093
907,HAND SANITIZER,,000B00080003000C,4,0,A003-01-03-12,true,103,18,74196
333,AKSESORIS ULANG TAHUN LAINNYA,,00070005000C,3,0,A007-05-12,true,102,89,74298
1674,KERANJANG DAPUR,,000B000A00070001000300040001,7,4,A003-02-05-01-03-04-01,true,102,100,74400
1696,JAM DINDING,,000B000A00070002000300050002,7,0,A003-02-05-02-03-05-02,true,102,99,74502
1132,TOPI ANAK,,0008000100010006,4,0,A008-01-01-06,true,101,98,74603
1574,TIKAR,,000B000A0007000200050004,6,0,A003-02-05-02-05-04,true,101,97,74704
294,STEKER,,00060003000L,3,0,A006-03-21,true,100,96,74804
942,SEMPROTAN PEMBASMI HAMA,,000B000A00010006,4,0,A003-02-01-06,true,100,84,74904
1275,KOPER BAGASI,,0008000E00030003,4,2,A008-14-03-03,true,100,91,75004
1551,KERANJANG LAUNDRY,,000B000A0007000100040005,6,0,A003-02-05-01-04-05,true,100,95,75104
894,SERUM WAJAH,,000B00080002000C,4,0,A003-01-02-12,true,99,41,75203
1583,KAIN KESET,,000B000A00070001000100030002,7,0,A003-02-05-01-01-03-02,true,99,97,75302
45,PERALATAN UMUM,,00070008,2,30,A007-08,true,98,84,75400
46,KARTU UCAPAN,,00070009,2,0,A007-09,true,97,95,75497
939,KAMPER / KAPUR BARUS (CAMPHOR/NAPHTALENE BALL),,000B000A00010003,4,2,A003-02-01-03,true,97,81,75594
1529,BASKOM AIR,,000B000A0007000100020001,6,0,A003-02-05-01-02-01,true,97,93,75691
268,RICE COOKER,,00060001000A,3,0,A006-01-10,true,96,66,75787
406,PAKAIAN TIDUR WANITA,,000800050009,3,4,A008-05-09,true,96,96,75883
969,KERAN AIR KAMAR MANDI,,0004000300080002,4,0,A004-03-08-02,true,96,88,75979
70,MAINAN BAYI & BALITA,,000A0004,2,0,A010-04,true,95,84,76074
88,KACANG DAN SNACK LAINNYA,,000100050004,3,5,A001-04-04,true,94,41,76168
160,KUAS CAT,,000400010008,3,0,A004-01-08,true,94,82,76262
198,TALI PLASTIK TWIST TIE (CABLE TIE NYLON),,00040003000G,3,0,A004-03-16,true,94,83,76356
653,ROTI,,00010006000F0005,4,2,A001-05-15-05,true,94,66,76450
1107,KABEL DATA,,0006000200030005,4,0,A006-02-03-05,true,94,82,76544
1325,JUS BUAH,,00010003000200030002,5,0,A001-02-01-03-02,true,94,64,76638
360,KOTAK KADO,,00070008000F,3,0,A007-08-15,true,93,79,76731
117,ROKOK,,000100080005,3,0,A001-07-05,true,92,66,76823
171,TANG,,00040001000J,3,0,A004-01-19,true,92,80,76915
176,LEM MATERIAL,,000400020005,3,0,A004-02-05,true,92,86,77007
906,SUN BLOCK / SUN SCREEN,,000B0008000E,3,0,A003-01-14,true,92,71,77099
532,BISKUIT SEASONAL ,,0001000500020001,4,0,A001-04-02-01,true,90,65,77189
799,BEDAK ANAK & BAYI,,0002000100030002,4,0,A002-01-03-02,true,90,33,77279
801,COLOGNE ANAK & BAYI,,0002000100030004,4,0,A002-01-03-04,true,90,79,77369
1175,BATIK LENGAN PENDEK PRIA,,0008000400060002,4,0,A008-04-04-02,true,90,89,77459
1178,JEANS PRIA,,0008000400070003,4,0,A008-04-05-03,true,90,90,77549
1087,MOUSE,,0006000200010009,4,0,A006-02-01-09,true,88,61,77637
1672,TEMPAT PENYIMPANAN MAKANAN,,000B000A00070001000300030001,7,7,A003-02-05-01-03-03-01,true,88,82,77725
357,KALKULATOR,,00070008000C,3,0,A007-08-12,true,87,75,77812
